"","WCPCB-SPR001-20140924.1","WCPCB-SPR001-20161107.1","WCPCB-SPR001-20140827.1","WCPCB-SPR001-20140825.1","WCPCB-SPR001-20160520.1","WCPCB-SPR001-20160513.1","WCPCB-SPR001-20140909.1","WCPCB-SPR001-20140902.1","WCPCB-SPR002-20140902.1","WCPCB-SPR002-20140909.1","WCPCB-SPR002-20140825.1","WCPCB-SPR003-20140924.1","WCPCB-SPR002-20161107.1","WCPCB-SPR002-20160520.1","WCPCB-SPR002-20160513.1","WCPCB-SPR002-20140827.1","WCPCB-SPR002-20140924.1","WCPCB-SPR004-20160513.1","WCPCB-SPR004-20161107.1","WCPCB-SPR004-20140827.1","WCPCB-SPR004-20160520.1","WCPCB-SPR004-20140825.1","WCPCB-SPR004-20140924.1","WCPCB-SPR004-20140909.1","WCPCB-SPR015-20140902.1","WCPCB-SPR015-20140924.1","WCPCB-SPR015-20140827.1","WCPCB-SPR015-20161107.1","WCPCB-SPR015-20160520.1","WCPCB-SPR015-20160513.1","WCPCB-SPR015-20140825.1","WCPCB-SPR015-20140909.1","WCPCB-SPR005-20140902.1","WCPCB-SPR005-20140825.1","WCPCB-SPR005-20140909.1","WCPCB-SPR006-20140909.1","WCPCB-SPR006-20140902.1","WCPCB-SPR006-20140825.1","WCPCB-SPR007-20161107.1","WCPCB-SPR007-20140825.1","WCPCB-SPR007-20140909.1","WCPCB-SPR007-20140827.1","WCPCB-SPR007-20160513.1","WCPCB-SPR007-20160520.1","WCPCB-SPR008-20140902.1","WCPCB-SPR008-20140825.1","WCPCB-SPR008-20141002.1","WCPCB-SPR009-20140825.1","WCPCB-SPR009-20140924.1","WCPCB-SPR009-20140902.1","WCPCB-SPR009-20140827.1","WCPCB-SPR010-20140902.1","WCPCB-SPR010-20140825.1","WCPCB-SPR010-20140909.1","WCPCB-SPR011-20140902.1","WCPCB-SPR011-20140825.1","WCPCB-SPR011-20140909.1","WCPCB-SPR012-20140924.1","WCPCB-SPR012-20140902.1","WCPCB-SPR012-20140827.1","WCPCB-SPR012-20140929.1","WCPCB-SPR012-20140825.1","WCPCB-SPR013-20140825.1","WCPCB-SPR013-20140902.1","WCPCB-SPR013-20140909.1","WCPCB-SPR014-20140902.1","WCPCB-SPR014-20140924.1","WCPCB-SPR014-20140825.1","WCPCB-SPR014-20161107.1","WCPCB-SPR014-20140827.1","WCPCB-SPR014-20160520.1","WCPCB-SPR014-20160513.1"
"WCPCB-SPR001-20140924.1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WCPCB-SPR001-20161107.1","0.944","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WCPCB-SPR001-20140827.1","0.996","0.943","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WCPCB-SPR001-20140825.1","0.937","0.789","0.935","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WCPCB-SPR001-20160520.1","0.902","0.975","0.899","0.706","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WCPCB-SPR001-20160513.1","0.909","0.97","0.911","0.732","0.984","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WCPCB-SPR001-20140909.1","0.987","0.976","0.987","0.88","0.952","0.949","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WCPCB-SPR001-20140902.1","0.998","0.944","0.995","0.934","0.905","0.91","0.988","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WCPCB-SPR002-20140902.1","0.548","0.705","0.577","0.371","0.724","0.706","0.639","0.566","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WCPCB-SPR002-20140909.1","0.916","0.975","0.915","0.727","0.987","0.961","0.962","0.92","0.701","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
