"","YYYY","MM","DD","WTMP","Date","WTMP_K"
"1",2001,1,1,0.316666666666667,2001-01-01,273.466666666667
"2",2003,1,1,4.16666666666667,2003-01-01,277.316666666667
"3",2006,1,1,4.8375,2006-01-01,277.9875
"4",2008,1,1,5.7,2008-01-01,278.85
"5",2010,1,1,3.78260869565217,2010-01-01,276.932608695652
"6",2011,1,1,2.37391304347826,2011-01-01,275.523913043478
"7",2012,1,1,7.24782608695652,2012-01-01,280.397826086957
"8",2013,1,1,5.54782608695652,2013-01-01,278.697826086957
"9",2014,1,1,4.34347826086957,2014-01-01,277.49347826087
"10",2015,1,1,5.14347826086957,2015-01-01,278.29347826087
"11",2001,2,1,2.72916666666667,2001-02-01,275.879166666667
"12",2003,2,1,-0.0958333333333333,2003-02-01,273.054166666667
"13",2006,2,1,4.93333333333333,2006-02-01,278.083333333333
"14",2008,2,1,3.34583333333333,2008-02-01,276.495833333333
"15",2010,2,1,1.35833333333333,2010-02-01,274.508333333333
"16",2011,2,1,0.45,2011-02-01,273.6
"17",2012,2,1,5.1125,2012-02-01,278.2625
"18",2013,2,1,3.84166666666667,2013-02-01,276.991666666667
"19",2014,2,1,0.3625,2014-02-01,273.5125
"20",2015,2,1,1.35,2015-02-01,274.5
"21",2001,3,1,4.23333333333333,2001-03-01,277.383333333333
"22",2003,3,1,0.3375,2003-03-01,273.4875
"23",2006,3,1,3.99583333333333,2006-03-01,277.145833333333
"24",2008,3,1,3.54166666666667,2008-03-01,276.691666666667
"25",2010,3,1,2.57083333333333,2010-03-01,275.720833333333
"26",2011,3,1,4.5625,2011-03-01,277.7125
"27",2012,3,1,6.90416666666667,2012-03-01,280.054166666667
"28",2013,3,1,4.5,2013-03-01,277.65
"29",2014,3,1,1.54583333333333,2014-03-01,274.695833333333
"30",2015,3,1,-0.408333333333333,2015-03-01,272.741666666667
"31",2001,4,1,7.475,2001-04-01,280.625
"32",2003,4,1,7.1,2003-04-01,280.25
"33",2006,4,1,9.36666666666667,2006-04-01,282.516666666667
"34",2008,4,1,8.71666666666667,2008-04-01,281.866666666667
"35",2010,4,1,9.48333333333333,2010-04-01,282.633333333333
"36",2011,4,1,7.09583333333333,2011-04-01,280.245833333333
"37",2012,4,1,11.175,2012-04-01,284.325
"38",2013,4,1,7.22083333333333,2013-04-01,280.370833333333
"39",2014,4,1,5.4625,2014-04-01,278.6125
"40",2001,5,1,14.3708333333333,2001-05-01,287.520833333333
"41",2003,5,1,14.8166666666667,2003-05-01,287.966666666667
"42",2006,5,1,14.8708333333333,2006-05-01,288.020833333333
"43",2008,5,1,14.8583333333333,2008-05-01,288.008333333333
"44",2010,5,1,14.6,2010-05-01,287.75
"45",2011,5,1,15.9458333333333,2011-05-01,289.095833333333
"46",2012,5,1,14.6583333333333,2012-05-01,287.808333333333
"47",2013,5,1,14.2708333333333,2013-05-01,287.420833333333
"48",2014,5,1,12.6125,2014-05-01,285.7625
"49",2015,5,1,13.9166666666667,2015-05-01,287.066666666667
"50",2001,6,1,18.3708333333333,2001-06-01,291.520833333333
"51",2003,6,1,15.9375,2003-06-01,289.0875
"52",2006,6,1,21.8666666666667,2006-06-01,295.016666666667
"53",2008,6,1,19.3375,2008-06-01,292.4875
"54",2010,6,1,22.4875,2010-06-01,295.6375
"55",2011,6,1,25.0458333333333,2011-06-01,298.195833333333
"56",2012,6,1,23.9291666666667,2012-06-01,297.079166666667
"57",2013,6,1,21.0619047619048,2013-06-01,294.211904761905
"58",2014,6,1,19.9833333333333,2014-06-01,293.133333333333
"59",2015,6,1,22.7125,2015-06-01,295.8625
"60",2001,7,1,26.7130434782609,2001-07-01,299.863043478261
"61",2003,7,1,24.2333333333333,2003-07-01,297.383333333333
"62",2006,7,1,26.0333333333333,2006-07-01,299.183333333333
"63",2008,7,1,25.5333333333333,2008-07-01,298.683333333333
"64",2010,7,1,25.9625,2010-07-01,299.1125
"65",2011,7,1,25.8041666666667,2011-07-01,298.954166666667
"66",2012,7,1,25.6958333333333,2012-07-01,298.845833333333
"67",2013,7,1,25.725,2013-07-01,298.875
"68",2014,7,1,25.3,2014-07-01,298.45
"69",2015,7,1,24.9222222222222,2015-07-01,298.072222222222
"70",2001,8,1,25.0625,2001-08-01,298.2125
"71",2003,8,1,25.8291666666667,2003-08-01,298.979166666667
"72",2006,8,1,29.1541666666667,2006-08-01,302.304166666667
