"","YY","MM","DD","WTMP","WTMP_K","Date"
"1",94,4,1,0.4875,273.6375,1994-04-01
"2",95,4,1,2.35833333333333,275.508333333333,1995-04-01
"3",93,5,1,2.42916666666667,275.579166666667,1993-05-01
"4",94,5,1,1.79583333333333,274.945833333333,1994-05-01
"5",95,5,1,3.05,276.2,1995-05-01
"6",93,6,1,3.24166666666667,276.391666666667,1993-06-01
"7",94,6,1,3.08333333333333,276.233333333333,1994-06-01
"8",95,6,1,3.9125,277.0625,1995-06-01
"9",93,7,1,9.8125,282.9625,1993-07-01
"10",94,7,1,12.4875,285.6375,1994-07-01
"11",95,7,1,16.5833333333333,289.733333333333,1995-07-01
"12",93,8,1,19.4416666666667,292.591666666667,1993-08-01
"13",94,8,1,18.2583333333333,291.408333333333,1994-08-01
"14",95,8,1,19.8791666666667,293.029166666667,1995-08-01
"15",93,9,1,20.0875,293.2375,1993-09-01
"16",94,9,1,16.525,289.675,1994-09-01
"17",95,9,1,21.1619047619048,294.311904761905,1995-09-01
"18",93,10,1,13.9173913043478,287.067391304348,1993-10-01
"19",94,10,1,16.4,289.55,1994-10-01
"20",95,10,1,13.9130434782609,287.063043478261,1995-10-01
"21",93,11,1,9.75833333333333,282.908333333333,1993-11-01
"22",94,11,1,11.325,284.475,1994-11-01
"23",95,11,1,10.5708333333333,283.720833333333,1995-11-01
"24",94,4,2,0.5,273.65,1994-04-02
"25",95,4,2,2.44583333333333,275.595833333333,1995-04-02
"26",93,5,2,2.61666666666667,275.766666666667,1993-05-02
"27",94,5,2,1.7125,274.8625,1994-05-02
"28",95,5,2,3.08333333333333,276.233333333333,1995-05-02
"29",93,6,2,3.3125,276.4625,1993-06-02
"30",94,6,2,3.1375,276.2875,1994-06-02
"31",95,6,2,4.375,277.525,1995-06-02
"32",93,7,2,10.0208333333333,283.170833333333,1993-07-02
"33",94,7,2,11.6916666666667,284.841666666667,1994-07-02
"34",95,7,2,14.5625,287.7125,1995-07-02
"35",93,8,2,19.4086956521739,292.558695652174,1993-08-02
"36",94,8,2,18.6583333333333,291.808333333333,1994-08-02
"37",95,8,2,19.975,293.125,1995-08-02
"38",93,9,2,20.8833333333333,294.033333333333,1993-09-02
"39",94,9,2,16.8875,290.0375,1994-09-02
"40",95,9,2,21.1666666666667,294.316666666667,1995-09-02
"41",93,10,2,13.25,286.4,1993-10-02
"42",94,10,2,16.2217391304348,289.371739130435,1994-10-02
"43",95,10,2,14.0458333333333,287.195833333333,1995-10-02
"44",93,11,2,9.58333333333333,282.733333333333,1993-11-02
"45",94,11,2,11.1208333333333,284.270833333333,1994-11-02
"46",95,11,2,10.5958333333333,283.745833333333,1995-11-02
"47",94,4,3,0.495833333333333,273.645833333333,1994-04-03
"48",95,4,3,2.46521739130435,275.615217391304,1995-04-03
"49",93,5,3,2.5375,275.6875,1993-05-03
"50",94,5,3,1.73333333333333,274.883333333333,1994-05-03
"51",95,5,3,2.95833333333333,276.108333333333,1995-05-03
"52",93,6,3,3.37391304347826,276.523913043478,1993-06-03
"53",94,6,3,3.25833333333333,276.408333333333,1994-06-03
"54",95,6,3,4.2875,277.4375,1995-06-03
"55",93,7,3,11.7541666666667,284.904166666667,1993-07-03
"56",94,7,3,12.0958333333333,285.245833333333,1994-07-03
"57",95,7,3,14.1041666666667,287.254166666667,1995-07-03
"58",93,8,3,19.3125,292.4625,1993-08-03
"59",94,8,3,18.75,291.9,1994-08-03
"60",95,8,3,20.1652173913043,293.315217391304,1995-08-03
"61",93,9,3,20.4041666666667,293.554166666667,1993-09-03
"62",94,9,3,17.5958333333333,290.745833333333,1994-09-03
"63",95,9,3,21.1416666666667,294.291666666667,1995-09-03
"64",93,10,3,13.5708333333333,286.720833333333,1993-10-03
"65",94,10,3,16.1916666666667,289.341666666667,1994-10-03
"66",95,10,3,14.45,287.6,1995-10-03
"67",93,11,3,9.9125,283.0625,1993-11-03
"68",94,11,3,11.2086956521739,284.358695652174,1994-11-03
"69",95,11,3,10.3333333333333,283.483333333333,1995-11-03
"70",94,4,4,0.4875,273.6375,1994-04-04
"71",95,4,4,2.34782608695652,275.497826086956,1995-04-04
"72",93,5,4,2.57916666666667,275.729166666667,1993-05-04
"73",94,5,4,1.81666666666667,274.966666666667,1994-05-04
"74",95,5,4,3.03913043478261,276.189130434783,1995-05-04
"75",93,6,4,3.40416666666667,276.554166666667,1993-06-04
"76",94,6,4,3.17272727272727,276.322727272727,1994-06-04
"77",95,6,4,5.65,278.8,1995-06-04
"78",93,7,4,11.9541666666667,285.104166666667,1993-07-04
