"location","Observation","Predicted","RMSE","Pearson","Factor2_Percentage","NumTrees","Mtry","SplitRule","MinNodeSize"
"Housatonic River",5e+05,168091.807325263,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,100817.638698307,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",2e+05,172478.715882716,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,185224.567613708,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",2e+05,268140.277819234,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,117423.02739511,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,181832.645809007,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,255171.735607137,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",48000,44688.8678728877,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",10000,27906.5254101296,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",50000,93954.1104283533,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",70000,27906.5254101296,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,51717.0682432733,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",40000,31561.1260687975,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",70000,43420.4304152207,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",110000,62091.0922740407,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",40000,41231.8355895772,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",70000,36117.0161485974,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,113369.658044572,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",2e+05,134181.488221808,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",5e+05,145483.367116749,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",1e+05,152433.018449806,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",64000,147108.737458759,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
"Housatonic River",160000,228819.626532209,0.370646411664126,0.590357123615446,65.5913978494624,1000,5,"variance",5
