"Location","Congener","Test_Data","Predicted_Data","RMSE","Correlation","NumTrees","Mtry","SplitRule","MinNodeSize","Factor2"
"Hudson River","PCB1",3.00860017176192,3.28684883533556,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2.00432137378264,2.61476276773781,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2.77378644498119,2.61330977699748,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2.63948648926859,2.71818002418041,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",3.82865989653532,4.06604978586606,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",3.4996870826184,3.18417541501341,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2.14921911265538,2.31918656651206,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2.04921802267018,1.84112364860715,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2.13033376849501,2.4150628467171,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2,2.25883621793597,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2.29225607135648,2.54021454696159,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2.29666519026153,2.15948658758307,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",2.27415784926368,2.26203431754429,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",3.70757017609794,3.65272647673046,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",1.93951925261862,1.81390571836845,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",1.60314437262018,1.76592407727986,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",1.59217675739587,1.73320981832264,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",1.96848294855394,1.7764030470207,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",1.82801506422398,1.80264428913448,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",1.75891189239797,1.80075722421366,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",3.6170003411209,3.52109726379941,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
"Hudson River","PCB1",4.08278537031645,4.10132882746775,0.274912326115881,0.941499926202574,1000,6,"variance",5,79.3650793650794
