"Location","Congener","Test_Data","Predicted_Data","RMSE","Correlation","NumTrees","Mtry","SplitRule","MinNodeSize","Factor2"
"Passaic River","PCB1",0.981365509078544,1.17339856369762,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.69897000433602,1.2553188520204,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.73878055848437,1.61422078130899,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.72345567203519,1.70103247647257,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",0.948901760970214,1.14488409813815,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.9237619608287,1.64304164224326,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.56229286445647,1.55718378169883,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.03742649794062,1.07761185888735,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",0.999130541287371,1.07761185888735,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.16136800223497,1.31554241776147,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.37106786227174,1.22378557337855,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.12385164096709,1.24320480604032,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.06069784035361,1.22565713240155,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.42324587393681,1.43886733512196,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",1.17897694729317,1.12175874815633,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
"Passaic River","PCB1",0.979092900638326,1.12175874815633,0.195732480991996,0.782315372551619,1000,3,"variance",4,89.7959183673469
