"","SiteID","date","Latitude","Longitude","tPCB","LocationName"
"1","WCPCB-21M001",2002-07-10,44.436115,-83.43417,660.39,"21Mich"
"2","WCPCB-21M001",2003-06-24,44.436115,-83.43417,148.72,"21Mich"
"3","WCPCB-21M001",2004-09-14,44.436115,-83.43417,59.58,"21Mich"
"4","WCPCB-21M001",2004-07-29,44.436115,-83.43417,231.33,"21Mich"
"5","WCPCB-21M001",2004-11-23,44.436115,-83.43417,71.09,"21Mich"
"6","WCPCB-21M001",2004-03-31,44.436115,-83.43417,37.47,"21Mich"
"7","WCPCB-21M001",2004-06-08,44.436115,-83.43417,106.43,"21Mich"
"8","WCPCB-21M001",2004-04-27,44.436115,-83.43417,39.77,"21Mich"
"9","WCPCB-21M001",2004-10-13,44.436115,-83.43417,99.15,"21Mich"
"10","WCPCB-21M001",2004-08-25,44.436115,-83.43417,140.3,"21Mich"
"11","WCPCB-21M001",2001-07-11,44.436115,-83.43417,116.25,"21Mich"
"12","WCPCB-21M001",2004-10-27,44.436115,-83.43417,17.05,"21Mich"
"13","WCPCB-21M001",2004-05-12,44.436115,-83.43417,107.49,"21Mich"
"14","WCPCB-21M001",2004-07-13,44.436115,-83.43417,67.01,"21Mich"
"15","WCPCB-21M001",2004-05-19,44.436115,-83.43417,38.61,"21Mich"
"16","WCPCB-21M002",2005-11-22,46.43728,-86.81744,2755,"21Mich"
"17","WCPCB-21M002",2005-03-21,46.43728,-86.81744,2698.31,"21Mich"
"18","WCPCB-21M002",2005-11-02,46.43728,-86.81744,3044.54,"21Mich"
"19","WCPCB-21M002",2005-09-14,46.43728,-86.81744,3431.86,"21Mich"
"20","WCPCB-21M002",2005-10-18,46.43728,-86.81744,4186.13,"21Mich"
"21","WCPCB-21M002",2005-09-27,46.43728,-86.81744,5551.69,"21Mich"
"22","WCPCB-21M002",2005-08-24,46.43728,-86.81744,6006.43,"21Mich"
"23","WCPCB-21M002",2005-08-03,46.43728,-86.81744,6595.09,"21Mich"
"24","WCPCB-21M002",2005-05-04,46.43728,-86.81744,6067.13,"21Mich"
"25","WCPCB-21M002",2001-08-09,46.43728,-86.81744,8180.56,"21Mich"
"26","WCPCB-21M002",2005-06-28,46.43728,-86.81744,7326.79,"21Mich"
"27","WCPCB-21M002",2005-06-01,46.43728,-86.81744,7955.78,"21Mich"
"28","WCPCB-21M002",2003-06-10,46.43728,-86.81744,7882.91,"21Mich"
"29","WCPCB-21M002",2002-07-30,46.43728,-86.81744,9469.48,"21Mich"
"30","WCPCB-21M003",2004-07-01,42.97918,-85.11105,221.19,"21Mich"
"31","WCPCB-21M004",2002-08-07,43.784348,-86.018691,1057.19,"21Mich"
"32","WCPCB-21M004",2002-06-26,43.784348,-86.018691,902.12,"21Mich"
"33","WCPCB-21M005",2002-05-30,44.675281,-85.630698,140.53,"21Mich"
"34","WCPCB-21M005",2001-05-30,44.675281,-85.630698,942.65,"21Mich"
"35","WCPCB-21M005",2003-07-09,44.675281,-85.630698,1818.91,"21Mich"
"36","WCPCB-21M005",2003-06-25,44.675281,-85.630698,1005.66,"21Mich"
"37","WCPCB-21M006",2005-06-21,46.185408,-87.566031,68.85,"21Mich"
"38","WCPCB-21M007",2003-05-27,43.365003,-83.954726,230.18,"21Mich"
"39","WCPCB-21M007",2001-07-10,43.365003,-83.954726,336.01,"21Mich"
"40","WCPCB-21M007",2002-08-21,43.365003,-83.954726,449.94,"21Mich"
"41","WCPCB-21M008",2002-07-09,45.633337,-84.481948,132.48,"21Mich"
"42","WCPCB-21M008",2001-06-19,45.633337,-84.481948,421.35,"21Mich"
"43","WCPCB-21M008",2003-10-08,45.633337,-84.481948,8.49,"21Mich"
"44","WCPCB-21M009",2002-08-05,44.117514,-85.015855,377.63,"21Mich"
"45","WCPCB-21M010",2002-09-17,42.584171,-82.882781,1788.69,"21Mich"
