LocationName,SiteID,SampleDate,Latitude,Longitude,tPCB
DEQ (Michigan),WCPCB-DMI001,7/11/01,44.436115,-83.43417,116.25
DEQ (Michigan),WCPCB-DMI001,7/10/02,44.436115,-83.43417,660.39
DEQ (Michigan),WCPCB-DMI001,6/24/03,44.436115,-83.43417,148.72
DEQ (Michigan),WCPCB-DMI001,3/31/04,44.436115,-83.43417,37.47
DEQ (Michigan),WCPCB-DMI001,4/27/04,44.436115,-83.43417,39.77
DEQ (Michigan),WCPCB-DMI001,5/12/04,44.436115,-83.43417,107.49
DEQ (Michigan),WCPCB-DMI001,5/19/04,44.436115,-83.43417,38.61
DEQ (Michigan),WCPCB-DMI001,6/8/04,44.436115,-83.43417,106.43
DEQ (Michigan),WCPCB-DMI001,7/13/04,44.436115,-83.43417,67.01
DEQ (Michigan),WCPCB-DMI001,7/29/04,44.436115,-83.43417,231.33
DEQ (Michigan),WCPCB-DMI001,8/25/04,44.436115,-83.43417,140.3
DEQ (Michigan),WCPCB-DMI001,9/14/04,44.436115,-83.43417,59.58
DEQ (Michigan),WCPCB-DMI001,10/13/04,44.436115,-83.43417,99.15
DEQ (Michigan),WCPCB-DMI001,10/27/04,44.436115,-83.43417,17.05
DEQ (Michigan),WCPCB-DMI001,11/23/04,44.436115,-83.43417,71.09
DEQ (Michigan),WCPCB-DMI002,8/9/01,46.43728,-86.81744,8180.56
DEQ (Michigan),WCPCB-DMI002,7/30/02,46.43728,-86.81744,9469.48
DEQ (Michigan),WCPCB-DMI002,6/10/03,46.43728,-86.81744,7882.91
DEQ (Michigan),WCPCB-DMI002,3/21/05,46.43728,-86.81744,2698.31
DEQ (Michigan),WCPCB-DMI002,5/4/05,46.43728,-86.81744,6067.13
DEQ (Michigan),WCPCB-DMI002,6/1/05,46.43728,-86.81744,7955.78
DEQ (Michigan),WCPCB-DMI002,6/28/05,46.43728,-86.81744,7326.79
DEQ (Michigan),WCPCB-DMI002,8/3/05,46.43728,-86.81744,6595.09
DEQ (Michigan),WCPCB-DMI002,8/24/05,46.43728,-86.81744,6006.43
DEQ (Michigan),WCPCB-DMI002,9/14/05,46.43728,-86.81744,3431.86
DEQ (Michigan),WCPCB-DMI002,9/27/05,46.43728,-86.81744,5551.69
DEQ (Michigan),WCPCB-DMI002,10/18/05,46.43728,-86.81744,4186.13
DEQ (Michigan),WCPCB-DMI002,11/2/05,46.43728,-86.81744,3044.54
DEQ (Michigan),WCPCB-DMI002,11/22/05,46.43728,-86.81744,2755
DEQ (Michigan),WCPCB-DMI003,7/1/04,42.97918,-85.11105,221.19
DEQ (Michigan),WCPCB-DMI004,6/26/02,43.784348,-86.018691,902.12
DEQ (Michigan),WCPCB-DMI004,8/7/02,43.784348,-86.018691,1057.19
DEQ (Michigan),WCPCB-DMI005,5/30/01,44.675281,-85.630698,942.65
DEQ (Michigan),WCPCB-DMI005,5/30/02,44.675281,-85.630698,140.53
DEQ (Michigan),WCPCB-DMI005,6/25/03,44.675281,-85.630698,1005.66
DEQ (Michigan),WCPCB-DMI005,7/9/03,44.675281,-85.630698,1818.91
DEQ (Michigan),WCPCB-DMI006,6/21/05,46.185408,-87.566031,68.85
DEQ (Michigan),WCPCB-DMI007,7/10/01,43.365003,-83.954726,336.01
DEQ (Michigan),WCPCB-DMI007,8/21/02,43.365003,-83.954726,449.94
